root,child,configuration,stop_edges,status,nodes,frontier,wall_seconds,exit_code
4,0,baseline,12,FRONTIER,42567,37554,3.335513,0
4,1,baseline,12,FRONTIER,66631,58764,3.225904,0
4,2,baseline,12,FRONTIER,76424,66977,4.206607,0
4,3,baseline,12,FRONTIER,25950,23170,2.094554,0
4,4,baseline,12,FRONTIER,633903,553290,13.301094,0
4,5,baseline,12,FRONTIER,698860,613595,12.116353,0
4,6,baseline,12,FRONTIER,698461,610740,15.574879,0
4,7,baseline,12,FRONTIER,448711,391854,12.641300,0
4,8,baseline,12,FRONTIER,889434,774926,23.595896,0
4,9,baseline,12,FRONTIER,4195876,3695647,88.392101,0
4,all,baseline,12,FRONTIER,7776817,6826517,178.484201,0
