claim_id	scope	declaration	kind	source
T1	T1	LeechTrees.Foundation.T1_physical_weights_one_two	theorem	LeechTrees/Foundations.lean
T2a	T2a	LeechTrees.Foundation.PosIntTree.T2_forced_mex_initial_segment	theorem	LeechTrees/Foundations.lean
T2b	T2b	LeechTrees.Foundation.T2_forced_mex_merge_persistence	theorem	LeechTrees/Foundations.lean
T3a	T3a	LeechTrees.PaperAlignment.T3_actual_root_parity_equation	theorem	LeechTrees/PaperAlignment.lean
T3b	T3b	LeechTrees.Foundation.t3_taylor_order_condition	theorem	LeechTrees/Foundations.lean
T3b	T3b	LeechTrees.Foundation.T3_taylor_parity_order18	theorem	LeechTrees/Foundations.lean
T4	T4	LeechTrees.Foundation.T4_cut_checksum	theorem	LeechTrees/Foundations.lean
T4	T4	LeechTrees.Foundation.T4_order18_checksum	theorem	LeechTrees/Foundations.lean
T5	T5	LeechTrees.Foundation.T5_every_edge_direct_sum	theorem	LeechTrees/Foundations.lean
T6	T6	LeechTrees.QHop.order18_largestPhysicalEdge_ge_19	theorem	LeechTrees/QHop/Claims.lean
T7	T7	LeechTrees.QHop.order18_simplePath_length_le_14	theorem	LeechTrees/QHop/Adapter.lean
T8a0	T8a0	LeechTrees.ParityTail.T8Collinear.T8_actual_collinear_outer_factorization_closed	theorem	LeechTrees/ParityTailCollinear.lean
T8a1	T8a1	LeechTrees.ParityTail.GraphAdapterV1.T8_actual_noncollinear_zero	theorem	LeechTrees/ParityTailGraphAdapter.lean
T8a	T8a	LeechTrees.ParityTail.T8ExactBundle.T8_actual_collinear_extreme_outer_components	theorem	LeechTrees/ParityTailExactBundle.lean
T8b	T8b	LeechTrees.ParityTail.T8ExactBundle.T8_actual_parity_counts_CF_KF	theorem	LeechTrees/ParityTailExactBundle.lean
T8c	T8c	LeechTrees.ParityTail.T8ExactBundle.T8_actual_moment_coefficients_are_parity_counts	theorem	LeechTrees/ParityTailExactBundle.lean
T8c	T8c	LeechTrees.ParityTail.T8ExactBundle.T8_actual_noncollinear_tripleCoefficient_zero	theorem	LeechTrees/ParityTailExactBundle.lean
T8d	T8d	LeechTrees.ParityTail.GraphAdapterV1.T8_actual_parity_resolved_path_moments	theorem	LeechTrees/ParityTailGraphAdapter.lean
T8e	T8e	LeechTrees.PaperAlignment.T8_order18_target_counts_and_moments	theorem	LeechTrees/PaperAlignment.lean
T8e	T8e	LeechTrees.ParityTail.GraphAdapterV1.T8_actual_order18_parity_moment_system	theorem	LeechTrees/ParityTailGraphAdapter.lean
T8f	T8f	LeechTrees.ParityTail.T8ExactBundle.T8_actual_order18_edge_counts_and_feasibility	theorem	LeechTrees/ParityTailExactBundle.lean
T9a	T9a	LeechTrees.ParityTail.GraphAdapterV1.T9_actual_edge_parity_tail	theorem	LeechTrees/ParityTailGraphAdapter.lean
T9b	T9b	LeechTrees.ParityTail.GraphAdapterV1.T9_actual_edge_saturation	theorem	LeechTrees/ParityTailGraphAdapter.lean
T10	T10	LeechTrees.ParityTail.GraphAdapterV1.T10_actual_weight67_nine_nine	theorem	LeechTrees/ParityTailGraphAdapter.lean
T10b	T10b	LeechTrees.ParityTail.GraphAdapterV1.T10b_actual_weight68_nine_nine	theorem	LeechTrees/ParityTailGraphAdapter.lean
